ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
11,GazeOnly,10,1,im glad she likes her tree,im glad shs likea yer trwe,47.87,44.63,1.90,0.00,6.27,6.72,22,4,0.15
11,GazeOnly,26,2,wednesday is definitely a hot chocolate day,wednesday iz definirwly a hlt  hocolzte say,74.72,72.39,1.55,0.00,6.75,6.96,36,7,0.16
11,GazeOnly,12,3,have a great trip,ha e a gtwat trip,35.22,28.80,5.03,0.00,5.45,6.67,14,3,0.18
11,GazeOnly,16,4,has anyone else heard anything,has a yone wlxe geatd anything,61.56,57.79,2.77,0.00,5.65,6.02,25,5,0.17
11,GazeOnly,29,5,what is the mood,whar is tbd mood,33.90,26.91,4.31,0.00,5.31,6.69,13,3,0.19
11,GazeOnly,13,6,did you talk to ava this morning,did you takj to ava rgid mornimg,59.47,55.02,2.69,0.00,6.26,6.76,26,6,0.19
11,GazeOnly,6,7,this looks fine,rhis looks fi e,23.76,20.19,1.18,0.00,7.07,8.32,13,2,0.13
11,GazeOnly,17,8,is it over,is it over,15.70,12.08,1.76,0.00,6.88,8.94,10,0,0.00
11,GazeOnly,30,9,i am on my way,i am ob mt aat,18.74,16.26,1.43,0.00,8.33,9.59,10,4,0.29
11,GazeOnly,5,10,im glad you liked it,um glad you liied it,32.66,27.12,2.84,0.00,6.98,8.41,18,2,0.10
11,GazeOnly,1,11,have i mentioned how much i love houston traffic,gave i mrntipnwd how kucy u love housron tfadfic,80.29,77.65,1.37,0.00,7.02,7.26,38,10,0.21
11,GazeOnly,24,12,i am at the lake,i am at the kakw,25.48,21.86,2.66,0.00,7.06,8.23,14,2,0.13
11,GazeOnly,25,13,i told you silly,i tols you ailly,20.97,18.72,1.27,0.00,8.58,9.61,14,2,0.13
11,GazeOnly,8,14,get with mary for format,get witg mady for firmat,42.76,38.03,3.79,0.00,6.45,7.26,21,3,0.13
11,GazeOnly,28,15,thursday works better for me,thurssqy qorks neyerr for me,43.52,41.02,1.30,0.00,7.44,7.90,21,7,0.25
11,GazeOnly,4,16,i think that is the right answer,i yhinj that id tbe right anzqer,49.45,46.64,1.86,0.00,7.52,7.98,26,6,0.19
11,GazeOnly,7,17,ive never worked with her,ivs nrbet workwd with her,37.59,34.43,1.76,0.00,7.66,8.36,20,5,0.20
11,GazeOnly,19,18,ok with me,ok with mw,16.00,10.95,2.00,0.00,6.75,9.86,9,1,0.10
11,GazeOnly,21,19,you can talk to becky,you can talj to becky,30.82,26.00,3.19,0.00,7.79,9.23,20,1,0.05
11,GazeOnly,23,20,i agreed terms with greg,i qgrees yerms qith greg,29.46,26.49,1.93,0.00,9.37,10.42,20,4,0.17
11,GazeOnly,11,21,are you getting all the information you need,arw you getting qlk the onformation ypu nrss,74.14,71.65,0.70,0.00,6.96,7.20,36,8,0.18
11,GazeOnly,2,22,take what you can get,takw ehat you cqn gey,34.85,31.66,2.00,0.00,6.89,7.58,17,4,0.19
11,GazeOnly,14,23,can you help,can yiu hslp,22.51,14.97,6.09,0.00,5.86,8.82,10,2,0.17
11,GazeOnly,27,24,thanks for your concern,thankd gor your vpncern,37.22,34.11,2.07,0.00,7.09,7.74,19,4,0.17
11,GazeOnly,9,25,i hope you are feeling better,u hipe you atr deeling betrer,62.88,57.07,4.50,0.00,5.34,5.89,23,6,0.21
11,GazeOnly,20,26,whats going on,whqta giijg on,40.51,32.35,2.77,0.00,3.85,4.82,10,4,0.29
11,GazeOnly,3,27,should systems manage the migration,sgould systems manage thr migtatioj,78.45,73.78,2.36,0.00,5.20,5.53,31,4,0.11
11,GazeOnly,18,28,ill get you one,ill get you ine,22.32,15.19,4.32,0.00,7.53,11.06,14,1,0.07
11,GazeOnly,15,29,its not looking too good is it,its npt loojung tpo giod ia it,44.05,39.58,2.00,0.00,7.90,8.79,24,6,0.20
11,GazeOnly,22,30,i talked to duran,i tqlkrd ti duran,24.36,21.86,1.39,0.00,7.88,8.78,14,3,0.18
