ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
8,GazeOnly,26,1,wednesday is definitely a hot chocolate day,wednesday us dwfunireoy a hoy chicilate dah,91.52,88.63,1.47,0.00,5.51,5.69,34,9,0.21
8,GazeOnly,1,2,have i mentioned how much i love houston traffic,havw i memtiined how mych ullove bouston traffic,83.88,79.86,32.95,0.00,6.72,7.06,41,7,0.15
8,GazeOnly,7,3,ive never worked with her,i e jever workec eiythuee,39.29,35.26,1.33,0.00,7.33,8.17,16,9,0.36
8,GazeOnly,18,4,ill get you one,ull geg yiu one,29.18,23.30,2.96,0.00,5.76,7.21,12,3,0.20
8,GazeOnly,2,5,take what you can get,take wjat you vqn bwt,29.46,26.37,2.10,0.00,8.15,9.10,16,5,0.24
8,GazeOnly,14,6,can you help,cam you help,21.51,16.71,3.83,0.00,6.14,7.90,11,1,0.08
8,GazeOnly,17,7,is it over,is ig lvde,21.41,17.13,1.13,0.00,5.04,6.31,6,4,0.40
8,GazeOnly,21,8,you can talk to becky,yoy can tali ti bexky,39.54,30.38,2.85,0.00,6.07,7.90,17,4,0.19
8,GazeOnly,15,9,its not looking too good is it,its uit lookihv tio goof is it,44.48,39.42,3.51,0.00,7.82,8.83,24,6,0.20
8,GazeOnly,11,10,are you getting all the information you need,are you geytibb alk rhe ihfornation you jeed,76.21,73.56,1.50,0.00,6.77,7.01,36,8,0.18
8,GazeOnly,8,11,get with mary for format,get with mary fir format,31.37,28.41,1.32,0.00,8.80,9.72,23,1,0.04
8,GazeOnly,19,12,ok with me,ik wutu me,22.94,19.52,1.61,0.00,4.71,5.53,7,3,0.30
8,GazeOnly,28,13,thursday works better for me,thuraday qprks bdgter cir me,42.05,39.81,1.21,0.00,7.70,8.14,21,7,0.25
8,GazeOnly,23,14,i agreed terms with greg,i ageeex twrms qith greg,42.74,40.42,1.43,0.00,6.46,6.83,20,4,0.17
8,GazeOnly,5,15,im glad you liked it,im glad you kikes it,33.32,28.60,2.85,0.00,6.84,7.97,18,2,0.10
8,GazeOnly,10,16,im glad she likes her tree,um gkzx ahe likes her tree,62.11,36.70,1.49,0.00,4.83,8.17,21,5,0.19
8,GazeOnly,24,17,i am at the lake,u al at tbe lakr,20.52,18.19,1.23,0.00,8.77,9.89,12,4,0.25
8,GazeOnly,9,18,i hope you are feeling better,i hipe yoi are fweling  etter,38.96,36.28,1.76,0.00,8.62,9.26,25,4,0.14
8,GazeOnly,25,19,i told you silly,i yold tou sully,23.19,20.66,1.63,0.00,7.76,8.71,13,3,0.19
8,GazeOnly,12,20,have a great trip,have a hreay trip,20.37,17.46,2.00,0.00,9.43,11.00,15,2,0.12
8,GazeOnly,6,21,this looks fine,this looms fine,24.99,22.58,1.43,0.00,6.72,7.44,14,1,0.07
8,GazeOnly,29,22,what is the mood,what is tyw mood,29.75,25.51,1.66,0.00,6.05,7.06,14,2,0.13
8,GazeOnly,3,23,should systems manage the migration,shouldvsystsms managw the mogratuon,61.16,57.27,2.09,0.00,6.67,7.12,30,5,0.14
8,GazeOnly,27,24,thanks for your concern,rnabla for yoyr concern,52.80,48.19,2.01,0.00,5.00,5.48,17,6,0.26
8,GazeOnly,16,25,has anyone else heard anything,has qnytnr else heard amytbing,48.80,46.85,1.06,0.00,7.13,7.43,25,5,0.17
8,GazeOnly,20,26,whats going on,qhats goinh o ,22.44,19.65,1.39,0.00,6.95,7.94,11,3,0.21
8,GazeOnly,30,27,i am on my way,i am on  y way,24.73,22.83,0.98,0.00,6.31,6.83,13,1,0.07
8,GazeOnly,4,28,i think that is the right answer,i thi l that is yhe right ansqet,41.65,39.08,1.54,0.00,8.93,9.52,27,5,0.16
8,GazeOnly,13,29,did you talk to ava this morning,did youvtalm to ava thos morning,49.56,46.31,1.38,0.00,7.51,8.03,29,3,0.09
8,GazeOnly,22,30,i talked to duran,i talmed tl zuran,26.74,22.78,2.82,0.00,7.18,8.43,14,3,0.18
