Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,20,729.15,919.47,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.012,20,715.18,926.00,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.029,20,704.81,930.86,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.044,20,700.43,932.91,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.055,20,699.03,933.56,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.067,20,698.24,933.93,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.082,20,660.44,941.84,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.097,20,595.32,955.34,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.111,20,574.53,959.65,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.125,20,559.08,962.86,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.140,20,526.55,964.31,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.152,20,490.32,964.88,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.167,20,463.40,965.30,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.178,20,454.80,965.43,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.192,20,448.41,965.53,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.205,20,429.76,962.23,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.219,20,399.43,956.47,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.235,20,386.63,954.04,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.249,20,381.23,953.02,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
