ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
6,GazeTouch,18,1,ill get you one,ill get you one,23.41,20.62,1.42,0.00,7.18,8.15,15,0,0.00
6,GazeTouch,9,2,i hope you are feeling better,i hope you are feeling bevtef,41.83,38.50,1.96,0.00,8.03,8.73,27,2,0.07
6,GazeTouch,10,3,im glad she likes her tree,im gkad she likes her trre,36.20,33.02,1.73,0.00,8.29,9.09,24,2,0.08
6,GazeTouch,4,4,i think that is the right answer,i think that is the right answer,43.04,39.26,2.75,0.00,8.64,9.47,32,0,0.00
6,GazeTouch,14,5,can you help,can ylu hell,14.18,10.34,2.25,0.00,9.31,12.76,10,2,0.17
6,GazeTouch,15,6,its not looking too good is it,its not lloking too good is it,40.10,36.70,2.22,0.00,8.68,9.48,29,1,0.03
6,GazeTouch,8,7,get with mary for format,get qitj maru gor format,35.77,32.88,1.51,0.00,7.72,8.39,20,4,0.17
6,GazeTouch,16,8,has anyone else heard anything,has anyone else hward znything,43.94,40.92,1.42,0.00,7.92,8.51,28,2,0.07
6,GazeTouch,20,9,whats going on,whats goingoon,22.61,19.43,1.79,0.00,6.90,8.03,13,1,0.07
6,GazeTouch,2,10,take what you can get,take wgat you can get,27.12,23.98,1.52,0.00,8.85,10.01,20,1,0.05
6,GazeTouch,19,11,ok with me,okawith me,13.37,10.86,1.29,0.00,8.08,9.95,9,1,0.10
6,GazeTouch,11,12,are you getting all the information you need,are you getting all che unformation gpu  eed,63.71,59.75,2.68,0.00,8.10,8.64,39,5,0.11
6,GazeTouch,22,13,i talked to duran,i tahked tobduran,23.61,21.80,0.86,0.00,8.13,8.81,15,2,0.12
6,GazeTouch,24,14,i am at the lake,i am zt thd lake,19.88,17.12,1.82,0.00,9.05,10.51,14,2,0.13
6,GazeTouch,1,15,have i mentioned how much i love houston traffic,havd i me tilned how mucg imlove houston traffic,61.74,59.30,1.25,0.00,9.14,9.51,43,5,0.10
6,GazeTouch,29,16,what is the mood,what is the mood,17.90,14.24,2.76,0.00,10.06,12.64,16,0,0.00
6,GazeTouch,27,17,thanks for your concern,thamks forhyour conxern,33.27,29.95,2.15,0.00,7.94,8.82,20,3,0.13
6,GazeTouch,30,18,i am on my way,i am on jy way,15.52,12.90,1.73,0.00,10.05,12.09,13,1,0.07
6,GazeTouch,21,19,you can talk to becky,ylu can tzlktto becly,29.04,26.39,0.95,0.00,8.26,9.09,17,4,0.19
6,GazeTouch,5,20,im glad you liked it,im glad vpu liked it,23.67,20.51,2.27,0.00,9.63,11.12,18,2,0.10
6,GazeTouch,25,21,i told you silly,i tpld you solly,16.91,14.83,1.17,0.00,10.65,12.13,14,2,0.13
6,GazeTouch,28,22,thursday works better for me,yhursday wofks better fo mwr,48.25,45.37,1.57,0.00,6.71,7.14,22,6,0.21
6,GazeTouch,7,23,ive never worked with her,ive never worked wict her,40.76,38.16,1.27,0.00,7.07,7.55,23,2,0.08
6,GazeTouch,12,24,have a great trip,have a great trip,25.62,20.58,3.24,0.00,7.49,9.33,17,0,0.00
6,GazeTouch,3,25,should systems manage the migration,shojld sydtems manage the migfation,51.23,45.10,2.57,0.00,7.96,9.05,32,3,0.09
6,GazeTouch,26,26,wednesday is definitely a hot chocolate day,wedeesday ks definitely s hot chocolate day,60.04,54.17,4.38,0.00,8.39,9.30,40,3,0.07
6,GazeTouch,23,27,i agreed terms with greg,i agrdef terms wwih greg,33.97,30.38,2.29,0.00,8.13,9.09,20,4,0.17
6,GazeTouch,17,28,is it over,is it over,12.93,9.69,1.90,0.00,8.35,11.15,10,0,0.00
6,GazeTouch,13,29,did you talk to ava this morning,did you talk to ava this morning,36.47,33.08,1.99,0.00,10.20,11.24,32,0,0.00
6,GazeTouch,6,30,this looks fine,thic looks fine,18.91,16.20,1.83,0.00,8.88,10.37,14,1,0.07
