Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,20,1086.47,438.47,h,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.014,20,1099.63,421.78,h,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.026,20,1105.18,414.74,h,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.039,20,1144.78,369.66,b,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.053,20,1178.69,331.17,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.066,20,1187.76,320.87,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.079,20,1191.59,316.53,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.091,20,1193.21,314.69,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.106,20,1194.01,313.78,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.118,20,1206.14,295.14,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.132,20,1216.72,278.84,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.143,20,1219.55,274.48,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.155,20,1220.74,272.64,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.169,20,1221.34,271.73,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.184,20,1225.89,236.83,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.199,20,1228.17,219.43,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.211,20,1228.78,214.77,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.223,20,1215.65,207.03,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.234,20,1192.56,196.18,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.248,20,1181.04,190.77,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.260,20,1177.95,189.32,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.274,20,1176.41,188.60,n,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.288,20,1118.51,213.90,b,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.302,20,1067.78,236.21,b,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.315,20,1054.21,242.18,b,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.329,20,1047.44,245.15,b,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.341,20,962.79,306.10,b,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.356,20,920.57,336.50,v,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.369,20,909.27,344.64,v,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.383,20,903.63,348.70,v,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.396,20,835.66,408.57,g,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.409,20,801.76,438.44,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.422,20,792.68,446.43,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.435,20,788.16,450.42,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.446,20,761.42,475.58,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.458,20,716.64,517.83,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.472,20,694.30,538.91,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.486,20,688.33,544.55,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.499,20,685.34,547.36,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.512,20,636.41,575.64,f,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.523,20,615.77,587.57,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.535,20,607.06,592.60,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.549,20,602.71,595.11,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.560,20,601.55,595.79,r,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.573,20,566.69,597.52,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.586,20,551.98,598.24,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.597,20,545.78,598.55,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.612,20,542.68,598.71,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.624,20,524.07,597.60,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.637,20,514.79,597.05,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.649,20,512.30,596.90,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.660,20,511.26,596.84,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.672,20,513.27,595.64,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.686,20,518.08,593.23,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
0.698,20,519.36,592.58,e,0,0.00,0.00,0.00,0.00,,,w,0,,0,0,0
