ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
10,GazeOnly,19,1,ok with me,ok witb me,14.65,10.85,1.16,0.00,7.37,9.96,9,1,0.10
10,GazeOnly,28,2,thursday works better for me,tgursday worjstbeeter for me,40.06,37.18,1.75,0.00,8.09,8.71,24,4,0.14
10,GazeOnly,4,3,i think that is the right answer,i think tbat iz thr right a seer,46.72,43.92,1.28,0.00,7.96,8.47,27,5,0.16
10,GazeOnly,21,4,you can talk to becky,you can tali to bwcky,27.89,25.10,1.66,0.00,8.61,9.56,19,2,0.10
10,GazeOnly,1,5,have i mentioned how much i love houston traffic,gavd i mentuoned hos much i love houstin traffic,78.96,76.17,1.51,0.00,7.14,7.40,43,5,0.10
10,GazeOnly,22,6,i talked to duran,i takied to duran,21.61,19.08,1.51,0.00,8.88,10.06,15,2,0.12
10,GazeOnly,15,7,its not looking too good is it,urs  ot looking too toos is it,44.82,40.63,2.43,0.00,7.76,8.56,25,5,0.17
10,GazeOnly,18,8,ill get you one,ill get you onw,19.20,14.63,1.72,0.00,8.75,11.48,14,1,0.07
10,GazeOnly,16,9,has anyone else heard anything,has anyone else heard anythihg,50.40,48.03,1.37,0.00,6.90,7.25,29,1,0.03
10,GazeOnly,11,10,are you getting all the information you need,arw uou tetging all thw informayion uou need,59.73,56.94,1.85,0.00,8.64,9.06,37,7,0.16
10,GazeOnly,17,11,is it over,iabit pver,24.83,20.56,1.43,0.00,4.35,5.25,7,3,0.30
10,GazeOnly,10,12,im glad she likes her tree,im glad ahe limes her tree,32.51,27.57,3.46,0.00,9.23,10.88,24,2,0.08
10,GazeOnly,7,13,ive never worked with her,ive nwver qorkdd with her,39.92,37.28,1.49,0.00,7.21,7.73,22,3,0.12
10,GazeOnly,20,14,whats going on,whays goi g on,18.73,15.53,1.31,0.00,8.33,10.05,12,2,0.14
10,GazeOnly,8,15,get with mary for format,get eith karu for formzt,45.17,40.17,3.76,0.00,6.11,6.87,20,4,0.17
10,GazeOnly,14,16,can you help,can ypu help,22.27,18.05,2.64,0.00,5.93,7.31,11,1,0.08
10,GazeOnly,12,17,have a great trip,hace a great trip,23.34,19.74,2.55,0.00,8.23,9.73,16,1,0.06
10,GazeOnly,26,18,wednesday is definitely a hot chocolate day,wednesday is degonotsly a hpt chocolate say,69.52,66.54,2.08,0.00,7.25,7.57,37,6,0.14
10,GazeOnly,13,19,did you talk to ava this morning,did you talk to ava tboa mpfninv,49.47,46.57,1.44,0.00,7.52,7.99,26,6,0.19
10,GazeOnly,3,20,should systems manage the migration,zbould syztems lanage yhe mogratipn,58.34,51.92,2.34,0.00,6.99,7.86,28,7,0.20
10,GazeOnly,5,21,im glad you liked it,im glad ylu liked ot,23.38,20.35,0.82,0.00,9.75,11.20,18,2,0.10
10,GazeOnly,23,22,i agreed terms with greg,i agreed twrmz withgrewg,28.99,25.74,2.32,0.00,9.52,10.72,18,6,0.25
10,GazeOnly,29,23,what is the mood,what is tje mpos,23.36,20.43,1.39,0.00,7.71,8.81,13,3,0.19
10,GazeOnly,27,24,thanks for your concern,thanks fot uour con ern,52.66,48.22,3.56,0.00,5.01,5.47,20,3,0.13
10,GazeOnly,9,25,i hope you are feeling better,i hope upu are feeling bwttsr,33.78,31.69,1.19,0.00,9.95,10.60,25,4,0.14
10,GazeOnly,30,26,i am on my way,i am on my way,17.04,13.94,2.17,0.00,9.15,11.19,14,0,0.00
10,GazeOnly,24,27,i am at the lake,i am zt yhe pake,25.77,22.11,2.41,0.00,6.98,8.14,13,3,0.19
10,GazeOnly,6,28,this looks fine,yhis lolks finw,23.34,19.81,1.66,0.00,7.20,8.48,12,3,0.20
10,GazeOnly,2,29,take what you can get,taje what you  an gwt,29.07,24.01,3.86,0.00,8.26,10.00,18,3,0.14
10,GazeOnly,25,30,i told you silly,i told you ailly,27.58,24.78,1.71,0.00,6.53,7.26,15,1,0.06
