Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,8,957.70,1008.00,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.018,8,926.54,1000.45,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.033,8,903.37,994.85,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.047,8,893.59,992.48,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.060,8,889.47,991.48,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.073,8,887.73,991.06,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.085,8,880.13,988.83,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.098,8,866.96,984.96,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.115,8,861.40,983.32,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.129,8,859.06,982.64,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.143,8,846.41,982.08,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.156,8,825.78,981.51,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.168,8,817.07,981.26,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.181,8,813.40,981.16,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.197,8,811.85,981.12,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.212,8,805.62,946.30,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.226,8,798.10,900.63,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.238,8,792.51,866.68,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.252,8,790.16,852.36,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.263,8,789.40,847.78,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.276,8,788.84,844.38,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.292,8,789.56,698.80,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.304,8,790.17,591.05,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.317,8,790.43,545.59,f,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.328,8,790.51,531.08,f,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.342,8,790.57,520.29,f,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.354,8,795.54,439.45,f,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.368,8,804.11,305.23,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.381,8,807.73,248.60,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.396,8,809.26,224.72,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.411,8,809.90,214.64,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.427,8,814.92,194.72,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.443,8,823.26,165.76,,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.458,8,826.78,153.54,,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.473,8,828.27,148.38,,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.485,8,828.89,146.21,,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.502,8,833.22,167.10,,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.514,8,836.34,182.92,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.527,8,837.66,189.59,v,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
