ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
5,TouchOnly,8,1,get with mary for format,get with mary for format,11.04,9.46,1.20,0.00,25.00,29.16,24,0,0.00
5,TouchOnly,7,2,ive never worked with her,ive never worked with her,11.54,9.82,1.19,0.00,24.96,29.34,25,0,0.00
5,TouchOnly,17,3,is it over,is it over,4.72,3.01,1.15,0.00,22.90,35.86,10,0,0.00
5,TouchOnly,22,4,i talked to duran,i talked to duran,7.78,6.25,0.96,0.00,24.69,30.71,17,0,0.00
5,TouchOnly,9,5,i hope you are feeling better,i hope you are feeling better,10.82,9.44,0.96,0.00,31.06,35.61,29,0,0.00
5,TouchOnly,2,6,take what you can get,take what you can get,8.84,7.46,0.98,0.00,27.14,32.17,21,0,0.00
5,TouchOnly,28,7,thursday works better for me,thursday works better formme,13.18,11.85,1.07,0.00,24.59,27.34,27,1,0.04
5,TouchOnly,13,8,did you talk to ava this morning,did you talk to ava this morning,13.62,12.30,0.92,0.00,27.31,30.25,32,0,0.00
5,TouchOnly,1,9,have i mentioned how much i love houston traffic,have i mentioned how much i love houston traffic,20.22,18.73,1.00,0.00,27.89,30.12,48,0,0.00
5,TouchOnly,16,10,has anyone else heard anything,has anyone else heard anything,12.49,10.69,1.34,0.00,27.87,32.55,30,0,0.00
5,TouchOnly,23,11,i agreed terms with greg,i agreed terms with greg,9.35,7.22,1.37,0.00,29.50,38.22,24,0,0.00
5,TouchOnly,11,12,are you getting all the information you need,are you getting all the information you need,16.43,15.24,0.87,0.00,31.40,33.86,44,0,0.00
5,TouchOnly,14,13,can you help,can you help,4.67,3.46,0.92,0.00,28.29,38.10,12,0,0.00
5,TouchOnly,21,14,you can talk to becky,you can talk to becky,8.28,6.95,0.93,0.00,29.00,34.52,21,0,0.00
5,TouchOnly,15,15,its not looking too good is it,its not looking too good is it,17.18,15.75,1.04,0.00,20.26,22.10,30,0,0.00
5,TouchOnly,29,16,what is the mood,what is the mood,6.54,5.14,1.01,0.00,27.53,35.01,16,0,0.00
5,TouchOnly,6,17,this looks fine,this looks fine,6.39,5.07,1.08,0.00,26.30,33.11,15,0,0.00
5,TouchOnly,18,18,ill get you one,ill get you one,5.93,4.56,1.11,0.00,28.32,36.87,15,0,0.00
5,TouchOnly,20,19,whats going on,whats going on,5.39,4.19,0.82,0.00,28.95,37.20,14,0,0.00
5,TouchOnly,4,20,i think that is the right answer,i think that is the right answer,12.36,10.91,1.05,0.00,30.11,34.09,32,0,0.00
5,TouchOnly,19,21,ok with me,ok with me,4.13,2.87,0.98,0.00,26.16,37.66,10,0,0.00
5,TouchOnly,27,22,thanks for your concern,thanks for your concern,9.37,8.24,0.91,0.00,28.17,32.04,23,0,0.00
5,TouchOnly,30,23,i am on my way,i am on my way,5.90,4.49,1.03,0.00,26.43,34.72,14,0,0.00
5,TouchOnly,5,24,im glad you liked it,im glad you liked it,7.85,6.59,0.96,0.00,29.05,34.60,20,0,0.00
5,TouchOnly,3,25,should systems manage the migration,should systems manage the migration,14.51,13.18,0.89,0.00,28.12,30.95,35,0,0.00
5,TouchOnly,26,26,wednesday is definitely a hot chocolate day,wednesday is definitely a hot chcoolate day,19.07,17.37,1.43,0.00,26.43,29.01,41,2,0.05
5,TouchOnly,12,27,have a great trip,have a great trip,6.70,5.14,1.13,0.00,28.68,37.37,17,0,0.00
5,TouchOnly,24,28,i am at the lake,i am at the lake,7.23,5.72,1.06,0.00,24.90,31.44,16,0,0.00
5,TouchOnly,10,29,im glad she likes her tree,im glad she likes her tree,10.92,8.66,1.91,0.00,27.48,34.63,26,0,0.00
5,TouchOnly,25,30,i told you silly,i told you silly,6.50,4.96,1.13,0.00,27.71,36.31,16,0,0.00
