Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,2,664.15,746.03,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.030,2,707.22,741.43,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.044,2,763.76,735.41,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.058,2,805.78,730.93,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.071,2,823.50,729.04,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.086,2,830.98,728.24,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.101,2,833.37,727.99,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.117,2,894.25,726.58,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.131,2,938.93,725.60,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.147,2,957.78,725.19,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.160,2,965.73,725.01,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.175,2,992.19,722.68,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.189,2,1003.35,721.70,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.205,2,1008.06,721.28,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.220,2,1010.05,721.11,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.232,2,1010.68,721.05,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.245,2,1011.24,721.00,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.258,2,1011.39,720.99,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.273,2,1022.69,724.92,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.284,2,1027.45,726.58,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.296,2,1029.46,727.28,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.308,2,1030.31,727.58,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.320,2,1030.67,727.70,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.333,2,1030.82,727.75,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.348,2,1032.65,728.89,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.361,2,1035.74,730.83,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.374,2,1037.04,731.65,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.386,2,1037.59,732.00,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.402,2,1037.83,732.14,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.415,2,1037.92,732.20,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.427,2,1037.97,732.23,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.442,2,1033.00,722.34,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.453,2,1029.31,714.98,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.465,2,1027.75,711.87,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.478,2,1027.09,710.56,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.492,2,1026.81,710.01,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.506,2,1011.12,705.82,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.520,2,999.50,702.79,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.535,2,973.60,708.47,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.547,2,955.93,713.11,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.562,2,947.11,715.43,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.574,2,944.75,716.05,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.587,2,943.76,716.31,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.599,2,943.34,716.42,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.611,2,907.80,729.94,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.626,2,846.41,753.33,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.640,2,820.51,763.20,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.654,2,809.58,767.36,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.669,2,735.40,810.10,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.680,2,694.79,833.72,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.695,2,664.61,851.27,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.709,2,651.88,858.68,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.724,2,620.82,878.87,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
