ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
8,GazeTouch,7,1,ive never worked with her,ive never worled with her,39.12,35.85,1.48,0.00,7.36,8.03,24,1,0.04
8,GazeTouch,16,2,has anyone else heard anything,gas anyone else heard anythgbg,39.91,37.59,1.30,0.00,8.72,9.26,27,3,0.10
8,GazeTouch,27,3,thanks for your concern,thanns fmr ylud conxweh,36.08,34.41,0.84,0.00,7.32,7.67,15,8,0.35
8,GazeTouch,10,4,im glad she likes her tree,im glad she lukws hwr tree,34.41,30.43,11.14,0.00,8.72,9.86,23,3,0.12
8,GazeTouch,21,5,you can talk to becky,you can talk to bwcky,26.09,23.78,1.07,0.00,9.20,10.09,20,1,0.05
8,GazeTouch,26,6,wednesday is definitely a hot chocolate day,wednwsday is sefknitely a hot chocolate say,56.41,53.51,1.80,0.00,8.93,9.42,39,4,0.09
8,GazeTouch,17,7,is it over,is ut over,10.62,8.41,1.13,0.00,10.17,12.85,9,1,0.10
8,GazeTouch,20,8,whats going on,whats goibg oj,18.22,14.09,2.62,0.00,8.56,11.07,12,2,0.14
8,GazeTouch,8,9,get with mary for format,get with mary firmaarmat,31.79,29.53,1.05,0.00,8.68,9.35,20,4,0.17
8,GazeTouch,19,10,ok with me,ok with mw,12.02,9.29,1.68,0.00,8.98,11.62,9,1,0.10
8,GazeTouch,14,11,can you help,can you hehp,16.35,13.89,1.08,0.00,8.07,9.50,11,1,0.08
8,GazeTouch,11,12,are you getting all the information you need,are yiu getrinf ajl the information you need,49.33,46.61,1.73,0.00,10.46,11.07,40,4,0.09
8,GazeTouch,22,13,i talked to duran,i takked to duran,21.67,19.82,0.89,0.00,8.86,9.69,16,1,0.06
8,GazeTouch,3,14,should systems manage the migration,should systems vanage the migratkln,46.55,43.62,1.73,0.00,8.77,9.35,32,3,0.09
8,GazeTouch,2,15,take what you can get,take what yuu can tet,26.80,24.79,0.99,0.00,8.96,9.68,19,2,0.10
8,GazeTouch,12,16,have a great trip,havf a gwaar trip,23.29,19.07,3.45,0.00,8.24,10.07,13,4,0.24
8,GazeTouch,25,17,i told you silly,i told yuu silly,21.17,18.81,1.37,0.00,8.50,9.57,15,1,0.06
8,GazeTouch,6,18,this looks fine,this lookw dine,21.41,17.41,1.69,0.00,7.85,9.65,13,2,0.13
8,GazeTouch,30,19,i am on my way,i am onamt way,16.60,14.03,1.42,0.00,9.40,11.12,12,2,0.14
8,GazeTouch,18,20,ill get you one,ill get you knw,16.61,13.96,1.62,0.00,10.11,12.03,13,2,0.13
8,GazeTouch,5,21,im glad you liked it,im glad yoyeliked it,24.66,22.60,1.10,0.00,9.25,10.09,18,2,0.10
8,GazeTouch,23,22,i agreed terms with greg,uhagreed terms with gref,30.18,25.79,1.29,0.00,9.15,10.70,21,3,0.13
8,GazeTouch,1,23,have i mentioned how much i love houston traffic,have u memtiined how much i love houston trafgic,60.81,58.28,1.79,0.00,9.27,9.68,44,4,0.08
8,GazeTouch,28,24,thursday works better for me,thursday workx better for me,31.23,28.54,1.61,0.00,10.38,11.35,27,1,0.04
8,GazeTouch,24,25,i am at the lake,i am ag ghe lakd,28.70,26.00,1.58,0.00,6.27,6.92,13,3,0.19
8,GazeTouch,15,26,its not looking too good is it,its nlr looking too glod is ut,37.27,33.89,2.01,0.00,9.34,10.27,26,4,0.13
8,GazeTouch,4,27,i think that is the right answer,i thinl that is ghe wifhr answer,40.16,38.17,1.06,0.00,9.26,9.75,27,5,0.16
8,GazeTouch,29,28,what is the mood,what is thw mood,17.46,14.54,1.79,0.00,10.31,12.38,15,1,0.06
8,GazeTouch,9,29,i hope you are feeling better,u gopw you are feeling berrer,39.28,37.05,1.03,0.00,8.55,9.07,24,5,0.17
8,GazeTouch,13,30,did you talk to ava this morning,did yiu talk ro ava tgis mirning,41.92,38.90,1.66,0.00,8.87,9.56,28,4,0.13
