ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
2,GazeOnly,11,1,are you getting all the information you need,ard you getring alk tne kngit atioj you  eed,90.83,85.29,3.22,0.00,5.68,6.05,33,11,0.25
2,GazeOnly,30,2,i am on my way,i zm on my wau,32.29,28.55,2.38,0.00,4.83,5.46,12,2,0.14
2,GazeOnly,16,3,has anyone else heard anything,hsd q uone emxr hezrd anytgimg,143.63,119.32,13.65,0.00,2.42,2.92,19,11,0.37
2,GazeOnly,10,4,im glad she likes her tree,in glad xue likrw jdr fdee,57.68,54.64,1.88,0.00,5.20,5.49,17,9,0.35
2,GazeOnly,17,5,is it over,ia ir iver,30.97,26.60,2.04,0.00,3.49,4.06,7,3,0.30
2,GazeOnly,14,6,can you help,ca  yoy heop,31.02,23.52,5.33,0.00,4.25,5.61,9,3,0.25
2,GazeOnly,24,7,i am at the lake,i z  at the makd,32.58,29.90,1.71,0.00,5.53,6.02,12,4,0.25
2,GazeOnly,13,8,did you talk to ava this morning,sid yiu tali ti ava this morninh,89.46,84.02,3.84,0.00,4.16,4.43,27,5,0.16
2,GazeOnly,9,9,i hope you are feeling better,i hope ypu aee fedlung berrrr,49.87,38.10,2.27,0.00,6.74,8.82,22,7,0.24
2,GazeOnly,26,10,wednesday is definitely a hot chocolate day,wednesday is sefijirely a bot cgpxolare dau,79.93,77.27,1.76,0.00,6.31,6.52,34,9,0.21
2,GazeOnly,6,11,this looks fine,thua loolz dinr,40.05,36.03,2.39,0.00,4.19,4.66,9,6,0.40
2,GazeOnly,23,12,i agreed terms with greg,u agreed ter w qirg grwy,71.46,67.78,2.38,0.00,3.86,4.07,16,8,0.33
2,GazeOnly,7,13,ive never worked with her,i e mever wirjsd with her,40.15,35.80,2.35,0.00,7.17,8.04,20,5,0.20
2,GazeOnly,12,14,have a great trip,ga e z great yrip,25.06,21.77,2.16,0.00,7.66,8.82,13,4,0.24
2,GazeOnly,28,15,thursday works better for me,tnursday wprks vrrtwr cle  w,79.55,76.33,1.99,0.00,4.07,4.24,17,11,0.39
2,GazeOnly,27,16,thanks for your concern,tnznks for youf vonver ,70.18,51.58,8.07,0.00,3.76,5.12,17,6,0.26
2,GazeOnly,20,17,whats going on,wgaye vkung on,31.64,27.83,1.92,0.00,4.93,5.61,8,6,0.43
2,GazeOnly,15,18,its not looking too good is it,ita mot ooolimg doo good kd it,74.15,61.50,1.98,0.00,4.69,5.66,22,8,0.27
2,GazeOnly,21,19,you can talk to becky,you can talk to hevky,97.53,93.59,2.79,0.00,2.46,2.56,19,2,0.10
2,GazeOnly,19,20,ok with me,oi eith md,31.39,26.83,2.30,0.00,3.44,4.03,7,3,0.30
2,GazeOnly,8,21,get with mary for format,tet wuyb  arttdir fiemat,49.43,45.91,1.78,0.00,5.58,6.01,13,11,0.46
2,GazeOnly,18,22,ill get you one,jkl ger you o w,35.35,31.63,2.47,0.00,4.75,5.31,10,5,0.33
2,GazeOnly,25,23,i told you silly,i told you zioly,24.46,20.54,2.79,0.00,7.36,8.76,14,2,0.13
2,GazeOnly,2,24,take what you can get,tzkw whzt you fzb get,39.81,36.80,1.36,0.00,6.03,6.52,15,6,0.29
2,GazeOnly,5,25,im glad you liked it,im gkad yoy kuiex ur,36.66,32.13,1.85,0.00,6.22,7.10,12,8,0.40
2,GazeOnly,3,26,should systems manage the migration,syoule aysteme managw rhe nirtatuoh,78.83,71.63,2.87,0.00,5.18,5.70,24,11,0.31
2,GazeOnly,1,27,have i mentioned how much i love houston traffic,yace i mentiinrsx ow much i lobr boudton traddix,88.13,77.73,9.17,0.00,6.40,7.26,34,14,0.29
2,GazeOnly,29,28,what is the mood,anat is yye moid,39.47,22.86,12.57,0.00,4.56,7.87,11,5,0.31
2,GazeOnly,4,29,i think that is the right answer,i tbink uhqt is tye right amzwrr,58.44,55.38,1.97,0.00,6.37,6.72,25,7,0.22
2,GazeOnly,22,30,i talked to duran,i tapies ro suran,27.92,25.46,1.64,0.00,6.88,7.54,12,5,0.29
