Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,30,1230.58,641.80,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.011,30,1242.28,644.58,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.025,30,1248.87,646.14,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.039,30,1253.76,647.30,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.052,30,1268.31,640.59,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.067,30,1290.81,628.32,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.089,30,1300.00,621.35,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.101,30,1312.07,612.22,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.115,30,1321.04,605.43,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.131,30,1324.82,602.56,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.145,30,1326.41,601.35,u,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.159,30,1342.20,576.20,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.170,30,1351.07,562.06,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.185,30,1357.67,551.54,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.196,30,1359.78,548.18,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.209,30,1360.96,546.29,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.220,30,1361.63,545.23,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.232,30,1355.71,531.05,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.244,30,1351.31,520.51,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.258,30,1349.45,516.06,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.273,30,1348.67,514.18,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.286,30,1348.34,513.39,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.302,30,1322.06,490.48,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.314,30,1287.71,460.73,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.328,30,1262.18,438.62,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.344,30,1251.41,429.30,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.358,30,1246.86,425.36,j,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.373,30,1165.66,312.50,n,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.386,30,1131.40,264.89,b,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.402,30,1116.95,244.81,b,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.414,30,1112.33,238.39,b,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.426,30,1108.90,233.63,b,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.442,30,1077.71,133.14,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.455,30,1064.55,90.75,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.471,30,1059.00,72.87,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.483,30,1056.66,65.32,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.498,30,1059.87,47.19,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.513,30,1066.73,19.91,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.528,30,1069.63,8.40,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.542,30,1070.85,3.54,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.556,30,1071.36,1.49,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.568,30,1094.71,0.84,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.581,30,1112.06,0.35,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.595,30,1119.38,0.15,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.608,30,1121.72,0.08,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.622,30,1123.03,0.05,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.637,30,1153.86,6.92,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.652,30,1176.78,12.03,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.668,30,1186.45,14.19,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.682,30,1190.53,15.10,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.698,30,1215.51,28.73,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.712,30,1229.14,36.30,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.725,30,1236.81,40.56,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.741,30,1241.12,42.95,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.755,30,1243.55,44.30,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.770,30,1245.68,48.23,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.781,30,1247.44,52.82,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.795,30,1248.75,56.23,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.810,30,1249.31,57.66,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.823,30,1249.54,58.27,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.838,30,1249.64,58.53,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.850,30,1249.68,58.64,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.863,30,1249.70,58.68,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.875,30,1249.71,58.70,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.888,30,1249.71,58.71,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
0.901,30,1249.71,58.71,,0,0.00,0.00,0.00,0.00,,,i,0,,0,0,0
