Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,8,920.77,612.49,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.012,8,921.80,611.87,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.024,8,922.56,611.40,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.039,8,932.72,596.96,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.054,8,937.79,589.76,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.067,8,939.15,587.84,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.080,8,939.39,587.48,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.091,8,939.82,586.87,t,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.103,8,942.89,574.84,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.117,8,945.16,565.90,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.131,8,946.12,562.13,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.145,8,946.53,560.54,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.156,8,946.70,559.87,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.167,8,943.84,559.56,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.181,8,938.80,559.41,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.198,8,936.67,559.35,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.211,8,935.99,559.33,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.223,8,935.49,559.31,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.239,8,932.19,558.62,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.250,8,930.80,558.33,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.261,8,930.36,558.24,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.276,8,930.03,558.17,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.290,8,923.98,559.62,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.305,8,919.53,560.71,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.318,8,917.66,561.17,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.331,8,916.87,561.36,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.345,8,915.79,556.28,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.358,8,914.36,547.37,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.371,8,913.76,543.61,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.384,8,913.50,542.02,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.398,8,913.40,541.35,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.411,8,913.35,541.07,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.422,8,912.74,534.91,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.434,8,911.70,524.31,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.447,8,911.26,519.85,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.461,8,911.07,517.96,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.474,8,910.99,517.16,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.490,8,904.43,507.51,g,0,0.00,0.00,0.00,0.00,,,g,0,,0,0,0
0.505,8,901.65,503.44,g,1,939.00,454.00,0.00,0.00,,,g,0,,0,0,0
0.520,8,900.49,501.72,g,1,939.00,454.00,0.00,0.00,,,g,0,,0,0,0
0.533,8,899.99,500.99,g,1,939.00,454.00,0.00,0.00,,,g,0,,0,0,0
0.554,8,899.90,500.86,g,1,939.00,454.00,0.00,0.00,,,g,1,g,0,0,0
0.570,8,889.53,491.96,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.583,8,881.73,483.62,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.598,8,875.93,477.43,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.612,8,874.08,475.45,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.626,8,872.70,473.98,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.641,8,872.12,473.36,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.657,8,871.88,473.10,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.671,8,871.77,472.98,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.683,8,879.67,429.45,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.698,8,884.11,404.96,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.714,8,886.60,391.19,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.732,8,888.01,383.44,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.746,8,889.05,377.68,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.757,8,894.29,365.19,v,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.772,8,898.18,355.90,v,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.785,8,899.42,352.94,v,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.800,8,900.12,351.27,v,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.814,8,900.51,350.33,v,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.829,8,867.22,382.10,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.841,8,848.50,399.97,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.854,8,837.97,410.03,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.868,8,832.04,415.68,g,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.879,8,787.38,453.48,f,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.891,8,731.25,500.72,f,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.906,8,681.93,542.23,f,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.920,8,668.73,553.34,f,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.932,8,663.16,558.03,f,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.944,8,622.64,591.39,r,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.958,8,555.46,646.67,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.971,8,521.94,674.24,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.985,8,512.97,681.62,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
0.997,8,509.19,684.73,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.014,8,461.87,724.11,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.026,8,427.21,752.95,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.038,8,416.14,762.16,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.050,8,409.92,767.35,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.064,8,406.42,770.26,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.078,8,399.67,775.85,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.093,8,395.49,779.31,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.108,8,393.73,780.76,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.122,8,392.98,781.38,e,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.138,8,360.18,813.30,w,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.152,8,335.80,837.03,w,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.165,8,325.52,847.04,w,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.179,8,321.18,851.26,w,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.193,8,319.35,853.04,w,0,0.00,0.00,0.00,0.00,,,e,0,,0,0,0
1.211,8,318.58,853.79,w,1,475.00,657.00,0.00,0.00,,,e,0,,0,0,0
1.224,8,329.93,858.29,w,1,475.00,657.00,0.00,0.00,,,e,0,,0,0,0
1.237,8,336.32,860.81,w,1,475.00,657.00,0.00,0.00,,,e,0,,0,0,0
1.251,8,341.06,862.69,w,1,475.00,655.00,0.00,0.00,,,e,0,,0,0,0
1.278,8,341.93,863.03,w,1,475.00,655.00,0.00,0.00,,,e,1,e,0,0,0
1.290,8,343.43,863.63,w,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.304,8,355.33,859.61,w,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.317,8,370.59,854.20,w,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.330,8,381.94,850.18,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.344,8,386.72,848.49,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.356,8,388.74,847.77,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.370,8,409.55,824.05,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.384,8,419.94,812.21,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.398,8,422.71,809.04,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.412,8,423.89,807.71,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.424,8,424.38,807.14,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.438,8,433.12,794.42,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.453,8,440.71,783.32,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.464,8,442.75,780.35,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.477,8,443.61,779.10,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.488,8,443.97,778.57,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.501,8,455.81,776.95,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.518,8,476.14,774.44,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.531,8,484.72,773.37,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.543,8,488.34,772.93,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.556,8,512.44,774.58,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.568,8,552.22,777.71,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.583,8,572.06,779.26,e,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.602,8,577.37,779.68,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.619,8,579.07,779.81,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.633,8,642.43,768.33,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.647,8,669.16,763.48,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.662,8,680.44,761.44,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.674,8,685.20,760.58,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.688,8,687.20,760.21,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.704,8,688.21,760.03,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.719,8,752.45,731.54,r,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.730,8,779.55,719.53,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.745,8,790.98,714.46,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
1.758,8,795.81,712.32,t,1,926.00,629.00,0.00,0.00,,,t,0,,0,0,0
1.774,8,813.65,702.89,t,1,926.00,629.00,0.00,0.00,,,t,0,,0,0,0
1.789,8,826.26,696.17,t,1,926.00,629.00,0.00,0.00,,,t,0,,0,0,0
1.806,8,826.26,696.17,t,1,926.00,629.00,0.00,0.00,,,t,1,t,0,0,0
1.823,8,831.58,693.34,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.841,8,833.82,691.99,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.854,8,834.76,691.37,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.869,8,835.16,691.11,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.881,8,835.32,691.00,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.894,8,831.14,692.51,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.905,8,825.57,694.54,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.918,8,821.44,696.05,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.932,8,819.69,696.69,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.946,8,818.96,696.96,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.959,8,815.60,699.76,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.975,8,812.78,702.18,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
1.989,8,812.02,702.83,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.001,8,811.70,703.10,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.013,8,811.56,703.22,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.024,8,811.52,703.26,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.036,8,811.49,703.28,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.050,8,806.83,702.62,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.063,8,803.37,702.13,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.075,8,801.91,701.92,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.088,8,801.19,701.82,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
2.101,8,800.99,701.79,t,0,0.00,0.00,0.00,0.00,,, ,0,,0,0,0
