ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
3,GazeTouch,3,1,should systems manage the migration,should sytsems managw the migeation,66.00,61.52,2.09,0.00,6.18,6.63,31,4,0.11
3,GazeTouch,13,2,did you talk to ava this morning,did you tzlk to ava this moening,54.79,49.86,3.85,0.00,6.79,7.46,30,2,0.06
3,GazeTouch,9,3,i hope you are feeling better,i hope you are fwelinb better,45.28,42.90,1.26,0.00,7.42,7.83,27,2,0.07
3,GazeTouch,21,4,you can talk to becky,you can talk to bwcly,35.11,31.01,2.72,0.00,6.84,7.74,19,2,0.10
3,GazeTouch,29,5,what is the mood,what is the mood,23.96,21.42,1.24,0.00,7.51,8.40,16,0,0.00
3,GazeTouch,1,6,have i mentioned how much i love houston traffic,yavw i  entionwd how much i lovw houston traffic,75.13,70.39,2.02,0.00,7.51,8.01,43,5,0.10
3,GazeTouch,14,7,can you help,can you hwlp,15.91,13.06,1.54,0.00,8.30,10.10,11,1,0.08
3,GazeTouch,6,8,this looks fine,this looks fine,22.99,19.26,2.69,0.00,7.31,8.72,15,0,0.00
3,GazeTouch,12,9,have a great trip,have a gre t tfip,28.58,24.40,2.90,0.00,6.72,7.87,15,2,0.12
3,GazeTouch,4,10,i think that is the right answer,i thinl thzt is the rigyt answer,42.66,39.95,1.75,0.00,8.72,9.31,29,3,0.09
3,GazeTouch,23,11,i agreed terms with greg,i agreed termzwiyth greg,34.07,31.69,1.36,0.00,8.10,8.71,20,4,0.17
3,GazeTouch,19,12,ok with me,ok with me,13.14,10.16,1.85,0.00,8.22,10.63,10,0,0.00
3,GazeTouch,18,13,ill get you one,ill get you one,14.22,12.27,0.84,0.00,11.81,13.70,15,0,0.00
3,GazeTouch,24,14,i am at the lake,i am at the lakf,18.45,16.18,1.27,0.00,9.76,11.13,15,1,0.06
3,GazeTouch,8,15,get with mary for format,get rsig mary foe format,34.65,32.02,1.52,0.00,7.97,8.62,19,5,0.21
3,GazeTouch,16,16,has anyone else heard anything,has anyone else heard anyrhing,34.61,32.50,1.37,0.00,10.06,10.71,29,1,0.03
3,GazeTouch,7,17,ive never worked with her,ive never worked with her,26.55,24.24,0.88,0.00,10.85,11.88,25,0,0.00
3,GazeTouch,15,18,its not looking too good is it,its not lookivg too gvod id it,37.54,35.02,1.34,0.00,9.27,9.94,27,3,0.10
3,GazeTouch,5,19,im glad you liked it,im glcrtgou likwd it,31.86,29.60,1.13,0.00,7.16,7.70,15,5,0.25
3,GazeTouch,17,20,is it over,is it over,10.40,7.45,1.83,0.00,10.38,14.49,10,0,0.00
3,GazeTouch,26,21,wednesday is definitely a hot chocolate day,wednesfay is definitely a hot chlcikatd day,57.45,55.69,0.90,0.00,8.77,9.05,38,5,0.12
3,GazeTouch,25,22,i told you silly,i told you silly,18.00,15.33,1.65,0.00,10.00,11.74,16,0,0.00
3,GazeTouch,20,23,whats going on,whats goibg on,15.41,12.83,1.29,0.00,10.13,12.16,13,1,0.07
3,GazeTouch,30,24,i am on my way,i am an theway,19.33,16.40,2.00,0.00,8.07,9.51,10,4,0.29
3,GazeTouch,22,25,i talked to duran,i talked to duran,17.94,16.05,0.97,0.00,10.70,11.96,17,0,0.00
3,GazeTouch,10,26,im glad she likes her tree,im gladvshe likes her tree,32.02,28.21,2.69,0.00,9.37,10.63,25,1,0.04
3,GazeTouch,11,27,are you getting all the information you need,are you getting all the unfirmatiob you need,47.04,45.37,0.83,0.00,10.97,11.37,41,3,0.07
3,GazeTouch,28,28,thursday works better for me,thursday works better foe me,32.40,29.50,1.78,0.00,10.00,10.98,27,1,0.04
3,GazeTouch,2,29,take what you can get,take what you czn get,21.87,19.93,1.05,0.00,10.97,12.04,20,1,0.05
3,GazeTouch,27,30,thanks for your concern,tyhnks for your cobcern,23.51,21.48,1.31,0.00,11.23,12.29,20,3,0.13
