Time,SentenceId,GazeX,GazeY,GazeNearestKey,TouchOn,TouchX,TouchY,CenterGridX,CenterGridY,CenterKeyLabel,SelectedKeyLabel,CharacterToBeTyped,TypeFlag,CharacterTyped,InBreak,ThreeByThreeDisplayed,CorrectKeyInThreeByThree
0.000,27,1044.61,446.64,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.016,27,1047.13,456.39,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.027,27,1051.50,473.30,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.040,27,1053.93,482.72,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.054,27,1052.51,507.70,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.068,27,1050.98,528.53,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.082,27,1050.56,534.11,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.096,27,1050.36,536.89,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.111,27,1030.81,563.49,h,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.122,27,1021.06,576.60,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.136,27,1017.98,580.75,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.150,27,1017.01,582.06,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.161,27,1008.29,590.43,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.175,27,1000.74,597.65,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.188,27,998.71,599.59,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.200,27,997.86,600.40,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.212,27,988.71,605.85,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.224,27,973.32,614.85,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.236,27,965.64,619.35,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.247,27,963.59,620.55,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.260,27,962.56,621.15,y,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.275,27,947.48,605.23,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.287,27,934.40,591.14,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.300,27,930.26,586.68,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.312,27,929.16,585.48,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.325,27,928.60,584.89,t,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.337,27,907.73,547.34,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.350,27,897.31,528.61,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.363,27,894.52,523.60,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.376,27,893.13,521.10,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.389,27,887.28,510.17,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.401,27,876.04,489.14,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.414,27,872.49,482.48,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.426,27,871.53,480.70,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.440,27,871.00,479.71,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.451,27,882.60,484.97,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.465,27,888.38,487.60,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.477,27,889.93,488.30,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.491,27,890.70,488.66,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.506,27,913.42,504.23,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.520,27,920.61,509.16,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.532,27,922.53,510.48,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.545,27,923.49,511.13,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.557,27,937.62,512.42,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.570,27,944.66,513.07,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.584,27,946.55,513.24,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.596,27,947.34,513.31,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.611,27,937.91,495.42,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.624,27,933.13,486.49,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.635,27,931.85,484.10,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.649,27,931.21,482.91,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.664,27,931.01,482.53,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.675,27,930.96,482.43,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.689,27,923.23,472.97,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.701,27,907.42,453.67,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.713,27,902.41,447.56,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.725,27,901.08,445.93,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.738,27,900.41,445.11,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.750,27,895.70,437.69,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.764,27,893.35,433.99,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.777,27,892.72,433.00,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.789,27,892.41,432.51,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.804,27,892.02,432.83,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.817,27,891.84,433.02,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.829,27,891.79,433.07,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.841,27,891.77,433.10,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.854,27,889.86,435.24,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.866,27,888.45,436.83,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.877,27,887.74,437.63,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.892,27,887.52,437.88,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
0.908,27,884.80,439.02,g,0,0.00,0.00,0.00,0.00,,,t,0,,0,0,0
