ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
7,GazeOnly,9,1,i hope you are feeling better,i hopw you ars fwwping bettwr,38.57,36.60,0.98,0.00,8.71,9.18,23,6,0.21
7,GazeOnly,16,2,has anyone else heard anything,hae qnypneceosrvyeatd anytging,49.15,46.10,2.15,0.00,7.08,7.55,20,10,0.33
7,GazeOnly,7,3,ive never worked with her,ive hever workedvwoth bsr,38.89,35.16,0.66,0.00,7.41,8.19,20,5,0.20
7,GazeOnly,1,4,have i mentioned how much i love houston traffic,have o mentipned hpw nuch i logr uouston trafdic,68.16,65.54,1.60,0.00,8.27,8.61,40,8,0.17
7,GazeOnly,11,5,are you getting all the information you need,arw you geytojg all the ojdormqtion you need,58.80,57.54,0.44,0.00,8.78,8.97,36,8,0.18
7,GazeOnly,15,6,its not looking too good is it,ite not looking too foow is it,36.60,34.26,1.43,0.00,9.51,10.16,27,3,0.10
7,GazeOnly,2,7,take what you can get,take wgqtcyou cab fet,30.05,27.59,0.63,0.00,7.99,8.70,16,5,0.24
7,GazeOnly,30,8,i am on my way,i am pn my way,14.63,12.63,65.23,0.00,10.67,12.36,13,1,0.07
7,GazeOnly,6,9,this looks fine,thisboooks rone,21.03,19.27,0.49,0.00,7.99,8.72,11,4,0.27
7,GazeOnly,22,10,i talked to duran,i talkrfvto euran,23.22,20.39,1.77,0.00,8.27,9.42,13,4,0.24
7,GazeOnly,13,11,did you talk to ava this morning,die you talk tovava tyis mornong,39.82,37.13,1.18,0.00,9.34,10.02,28,4,0.13
7,GazeOnly,26,12,wednesday is definitely a hot chocolate day,wrdnesdau iz sefijetely a hot xhocooaye day,57.50,55.30,1.46,0.00,8.77,9.11,34,9,0.21
7,GazeOnly,29,13,what is the mood,ahay ie the nopd,23.01,19.15,0.88,0.00,7.82,9.40,11,5,0.31
7,GazeOnly,25,14,i told you silly,i tood you silly,20.86,18.19,1.73,0.00,8.63,9.89,15,1,0.06
7,GazeOnly,20,15,whats going on,whats toing on,23.06,20.06,1.30,0.00,6.76,7.78,13,1,0.07
7,GazeOnly,3,16,should systems manage the migration,should eystems nanafe thevnigeation,50.30,46.25,1.68,0.00,8.11,8.82,29,6,0.17
7,GazeOnly,14,17,can you help,cab you help,17.20,14.84,1.34,0.00,7.68,8.90,11,1,0.08
7,GazeOnly,5,18,im glad you liked it,ik tlad you liked it,29.04,21.46,2.20,0.00,7.85,10.63,18,2,0.10
7,GazeOnly,28,19,thursday works better for me,thursday worjw vetter for ne,33.47,31.02,0.66,0.00,9.68,10.45,24,4,0.14
7,GazeOnly,4,20,i think that is the right answer,i think thay is the rightvanswrr,43.94,41.34,1.68,0.00,8.47,9.00,29,3,0.09
7,GazeOnly,17,21,is it over,us it pcer,13.72,9.61,0.75,0.00,7.87,11.24,7,3,0.30
7,GazeOnly,10,22,im glad she likes her tree,im gladvsye likes yer tree,35.68,32.48,1.55,0.00,8.41,9.24,23,3,0.12
7,GazeOnly,8,23,get with mary for format,get with mary for format,31.61,27.34,2.28,0.00,8.73,10.09,24,0,0.00
7,GazeOnly,27,24,thanks for your concern,thanis for your foncern,28.78,25.00,1.50,0.00,9.17,10.56,21,2,0.09
7,GazeOnly,12,25,have a great trip,have a grrat yrip,21.97,18.85,2.10,0.00,8.74,10.18,15,2,0.12
7,GazeOnly,21,26,you can talk to becky,you can tapk to becky,27.21,23.84,2.06,0.00,8.82,10.07,20,1,0.05
7,GazeOnly,24,27,i am at the lake,o am at yhe lake,19.03,16.65,1.05,0.00,9.46,10.81,14,2,0.13
7,GazeOnly,18,28,ill get you one,ill get uou one,16.34,13.86,1.53,0.00,10.28,12.12,14,1,0.07
7,GazeOnly,19,29,ok with me,ok witg me,12.94,10.18,0.64,0.00,8.35,10.60,9,1,0.10
7,GazeOnly,23,30,i agreed terms with greg,i agreed terms woth grey,24.02,21.36,1.70,0.00,11.49,12.92,22,2,0.08
