ParticipantID,Condition,PhraseID,SentenceNumber,TargetText,TypedText,TaskTime,TypingTime,TimeToFirstKey,SubmitLatency,TaskWPM,TypingWPM,CorrectChars,IncorrectChars,TER
7,GazeTouch,1,1,have i mentioned how much i love houston traffic,hafe i mentiobed how much i love houston tragfic,64.80,60.75,1.16,0.00,8.70,9.28,45,3,0.06
7,GazeTouch,20,2,whats going on,wyhts going on,17.70,13.20,3.62,0.00,8.82,11.82,12,2,0.14
7,GazeTouch,21,3,you can talk to becky,you can tdlu go becky,29.83,27.16,1.76,0.00,8.05,8.84,18,3,0.14
7,GazeTouch,16,4,has anyone else heard anything,has qnyobe else heard anytying,35.69,32.40,1.94,0.00,9.75,10.74,27,3,0.10
7,GazeTouch,10,5,im glad she likes her tree,im eksd she kikes her tree,34.27,30.47,1.78,0.00,8.75,9.85,22,4,0.15
7,GazeTouch,4,6,i think that is the right answer,i think that id the rivht andser,47.34,45.21,1.30,0.00,7.86,8.23,28,4,0.13
7,GazeTouch,7,7,ive never worked with her,uve bwver wormed with her,25.91,23.53,0.88,0.00,11.12,12.24,21,4,0.16
7,GazeTouch,29,8,what is the mood,what is the  ood,19.33,16.86,1.69,0.00,9.31,10.68,15,1,0.06
7,GazeTouch,8,9,get with mary for format,get wktb mary for firmat,27.52,25.62,1.03,0.00,10.03,10.77,21,3,0.13
7,GazeTouch,22,10,i talked to duran,u taledd to duran,19.63,17.08,1.34,0.00,9.78,11.24,14,3,0.18
7,GazeTouch,27,11,thanks for your concern,thanks firyyour ckbcern,30.82,28.72,1.13,0.00,8.57,9.19,19,4,0.17
7,GazeTouch,2,12,take what you can get,tqkr ehat you vab tet,21.77,19.55,1.54,0.00,11.02,12.28,15,6,0.29
7,GazeTouch,28,13,thursday works better for me,thursfay wurkd better mey me,37.23,34.95,1.24,0.00,8.70,9.27,22,6,0.21
7,GazeTouch,11,14,are you getting all the information you need,are tou gettijg slotthe informayion you need,46.70,44.21,1.89,0.00,11.05,11.67,38,6,0.14
7,GazeTouch,17,15,is it over,is it ovef,10.91,8.89,1.09,0.00,9.90,12.15,9,1,0.10
7,GazeTouch,9,16,i hope you are feeling better,i hkpe you are feekung better,27.65,24.91,1.62,0.00,12.15,13.49,26,3,0.10
7,GazeTouch,6,17,this looks fine,this looks vgie,15.95,14.36,0.88,0.00,10.53,11.70,12,3,0.20
7,GazeTouch,14,18,can you help,ca ykou help,17.42,12.94,3.45,0.00,7.58,10.20,9,3,0.25
7,GazeTouch,19,19,ok with me,lk with me,9.37,7.35,0.67,0.00,11.53,14.69,9,1,0.10
7,GazeTouch,23,20,i agreed terms with greg,i agreed hwrms with greg,23.58,21.29,1.44,0.00,11.70,12.96,22,2,0.08
7,GazeTouch,3,21,should systems manage the migration,should sytenms mxnage yhe migration,39.87,37.52,1.35,0.00,10.23,10.87,30,5,0.14
7,GazeTouch,25,22,i told you silly,i told you silly,14.91,12.37,1.60,0.00,12.08,14.55,16,0,0.00
7,GazeTouch,26,23,wednesday is definitely a hot chocolate day,wednesday us definutely a hot chixoolte day,44.93,43.48,0.75,0.00,11.22,11.59,37,6,0.14
7,GazeTouch,30,24,i am on my way,i am on mc way,16.01,13.84,1.34,0.00,9.74,11.27,13,1,0.07
7,GazeTouch,12,25,have a great trip,have a great trjp,15.64,13.95,0.93,0.00,12.27,13.76,16,1,0.06
7,GazeTouch,24,26,i am at the lake,i am at the lake,18.77,16.23,1.64,0.00,9.59,11.09,16,0,0.00
7,GazeTouch,5,27,im glad you liked it,im glad you liied tt,18.73,17.04,0.61,0.00,12.17,13.38,18,2,0.10
7,GazeTouch,18,28,ill get you one,ill tft you lne,15.08,12.92,1.48,0.00,11.14,13.01,12,3,0.20
7,GazeTouch,13,29,did you talk to ava this morning,did you tqlk tl ava this  ornung,31.09,29.26,0.84,0.00,11.96,12.71,28,4,0.13
7,GazeTouch,15,30,its not looking too good is it,its not kooiung goo goodcgs it,37.09,34.45,1.72,0.00,9.38,10.10,24,6,0.20
